SYMBOL,DATA_DATE,CMP,BIAS,NEXT_DAY_SCORE,SWING_SCORE,TECH_SCORE,TECH_SCORE_100,ALIGNED,CONFIDENCE,RSI14,ATR14,ATR_PCT,ATR_PERCENTILE,EMA20,EMA50,EMA200,MACD_HIST,MACD_DELTA,VOL_RATIO20,VOL_PERCENTILE,VWAP20,VWAP_DIST_PCT,DAY_RANGE_PCT,RANGE20_POS,RET1,RET5,RET10,RET20,GAP_PCT,DELIVERY_PCT,PREV_HIGH,PREV_LOW,PREV_CLOSE,WEEK_HIGH,WEEK_LOW,UP_DAY_PCT_3Y,DOWN_DAY_PCT_3Y,AVG_UP_RETURN_3Y,AVG_DOWN_RETURN_3Y,AVG_GAP_PCT_3Y,UP_GAP_FREQ_3Y,DOWN_GAP_FREQ_3Y,AVG_UP_GAP_3Y,AVG_DOWN_GAP_3Y,AVG_GAP_FILL_PCT_3Y,MAX_UP_STREAK_3Y,MAX_DOWN_STREAK_3Y,SIMILAR_SETUPS,HIST_1D_WIN_PCT,HIST_1D_AVG_PCT,HIST_3D_WIN_PCT,HIST_3D_AVG_PCT,HIST_5D_WIN_PCT,HIST_5D_AVG_PCT,HIST_10D_WIN_PCT,HIST_10D_AVG_PCT,HIST_15D_WIN_PCT,HIST_15D_AVG_PCT,HIST_SETUP_QUALITY,HISTORICAL_SCORE,HISTORICAL_QUALITY,PRIMARY_DRIVER,CONFLICTING_SIGNAL,EXPECTED_LOW_PCT,EXPECTED_HIGH_PCT,EXPECTED_LOW_PRICE,EXPECTED_HIGH_PRICE,INVALIDATION,LEVERAGE_RISK,AVG_VALUE20,INTRADAY_STATUS,INTRADAY_BIAS,INTRADAY_SCORE
CASHIETF,2026-08-28,1077.45,Bullish,71.63,87.41,4,70,4/10,Low,100.0,0.98,0.09,66.67,1075.45,1072.43,1057.94,-0.0011,0.0099,0.37,5.83,1075.67,0.17,0.21,0.66,0.04,0.09,0.18,0.37,0.25,76.86,1077.02,1077.0,1077.01,1077.38,1076.45,95.38,0.54,0.02,-0.0,0.07,1.63,0.0,2.35,,98.99,115,1,11,100.0,0.02,100.0,0.05,100.0,0.09,100.0,0.18,100.0,0.27,STRONG,86.08,STRONG,Trend + Structure + Delivery + Liquidity,None material,0.1,0.14,1078.53,1078.92,1075.67,LOW,333121293.0,NOT_AVAILABLE,NOT_AVAILABLE,
AAREYDRUGS,2026-08-28,89.01,Bullish,85.12,86.46,9,95,9/10,Medium,62.71,3.87,4.35,30.83,82.2,81.76,77.52,0.4056,0.4992,2.3,92.5,83.11,7.1,3.43,1.0,4.99,9.62,6.13,14.32,2.62,79.84,84.78,80.02,84.78,84.78,74.6,46.05,49.08,2.58,-2.17,0.33,34.87,25.92,2.68,-2.3,81.33,11,10,14,78.57,1.95,71.43,3.71,78.57,4.27,85.71,8.52,85.71,11.46,STRONG,92.5,STRONG,Trend + Momentum + Volume + Structure,None material,1.52,6.53,90.37,94.82,80.02,HIGH,13718934.0,NOT_AVAILABLE,NOT_AVAILABLE,
SHREEJISPG,2026-08-28,652.5,Bullish,81.12,85.66,7,85,7/10,High,57.21,24.8,3.8,59.17,634.52,594.45,458.32,-3.3455,1.3202,0.81,45.83,636.34,2.54,3.84,0.689,1.9,5.15,-0.14,1.11,0.05,54.83,649.55,630.95,640.35,654.7,611.9,47.51,46.74,2.41,-1.6,0.36,21.07,7.66,1.96,-2.14,86.21,8,4,41,60.98,0.99,78.05,2.93,80.49,4.29,87.8,7.27,85.37,9.67,STRONG,93.9,STRONG,Trend + Momentum + Structure + VWAP,None material,1.33,5.7,661.18,689.69,630.95,HIGH,676745350.0,NOT_AVAILABLE,NOT_AVAILABLE,
PETRONET,2026-08-28,292.0,Bullish,77.85,84.98,6,80,6/10,Medium,60.39,5.68,1.95,0.83,286.46,282.17,281.11,0.6612,-0.1389,0.6,35.0,286.17,2.04,0.96,0.798,0.36,-0.34,3.33,4.01,0.02,64.85,293.35,289.6,290.95,296.8,289.0,48.16,47.37,1.38,-1.32,0.11,6.45,6.32,1.81,-1.99,76.19,8,9,10,70.0,1.13,90.0,2.3,80.0,2.65,80.0,3.94,90.0,6.44,STRONG,91.0,STRONG,Trend + Momentum + VWAP + RSI,None material,0.68,2.92,293.99,300.52,286.17,LOW,554897828.0,NOT_AVAILABLE,NOT_AVAILABLE,
SBISILVER,2026-08-28,236.12,Bullish,79.12,83.38,7,85,7/10,High,60.44,6.06,2.57,19.17,228.73,226.75,217.19,0.8683,-0.0865,1.24,80.83,228.91,3.15,2.69,0.816,1.79,-0.89,4.17,11.57,0.0,39.59,241.76,229.3,231.97,241.76,229.3,54.93,41.61,1.75,-1.8,0.49,27.74,11.13,2.53,-2.53,62.27,8,7,100,62.0,0.6,68.0,1.88,75.0,3.38,77.0,6.5,76.0,9.81,STRONG,88.2,STRONG,Trend + Momentum + Volume + Structure,None material,0.9,3.85,238.24,245.22,228.91,MODERATE,277653794.0,NOT_AVAILABLE,NOT_AVAILABLE,
ATALREAL,2026-08-28,35.51,Bullish,78.67,83.33,6,80,6/10,Medium,65.01,1.32,3.73,16.67,34.08,32.41,27.78,-0.1119,0.0724,1.16,63.33,34.57,2.72,3.67,0.775,1.08,6.06,-1.72,7.05,0.63,18.49,36.14,34.6,35.13,36.14,32.71,47.63,46.32,2.24,-2.25,0.13,26.45,18.82,2.25,-2.91,83.39,8,9,12,66.67,0.73,66.67,1.55,83.33,2.71,83.33,5.03,83.33,4.84,STRONG,93.33,STRONG,Trend + Momentum + Volume + VWAP,None material,1.31,5.59,35.97,37.5,34.57,HIGH,404543790.0,NOT_AVAILABLE,NOT_AVAILABLE,
MONOLITH,2026-08-28,1226.0,Bullish,81.6,83.14,8,90,8/10,High,85.48,52.89,4.31,19.17,1006.54,878.12,636.24,18.9216,4.6852,1.23,75.0,998.85,22.74,5.93,0.969,5.96,22.67,29.02,42.86,1.11,72.28,1169.9,1069.45,1157.0,1169.9,980.05,48.09,45.96,3.17,-1.94,0.37,28.94,13.19,2.45,-2.91,83.18,7,6,26,61.54,1.03,73.08,2.38,73.08,3.08,80.77,6.5,88.46,13.02,STRONG,88.85,STRONG,Trend + Momentum + Volume + Structure,None material,1.51,6.47,1244.51,1305.34,998.85,HIGH,61391611.0,NOT_AVAILABLE,NOT_AVAILABLE,
AUROPHARMA,2026-08-28,1645.3,Bullish,76.07,82.4,6,80,6/10,Medium,58.4,34.49,2.1,0.83,1618.38,1578.2,1411.0,-2.6448,1.2981,0.49,15.83,1620.58,1.53,2.21,0.745,0.51,1.48,1.43,4.12,0.0,47.65,1637.0,1605.7,1637.0,1639.5,1598.8,47.11,48.55,1.46,-1.22,0.13,7.76,5.0,1.94,-2.03,78.15,9,9,11,45.45,0.74,72.73,1.89,72.73,3.67,72.73,3.89,90.91,4.7,STRONG,85.91,STRONG,Trend + Momentum + Structure + VWAP,None material,0.73,3.14,1657.37,1697.04,1605.7,MODERATE,1613777309.0,NOT_AVAILABLE,NOT_AVAILABLE,
WELCORP,2026-08-28,2373.8,Bullish,76.04,82.03,5,75,5/10,Medium,78.28,89.7,3.78,76.67,2062.03,1804.56,1313.34,39.578,-5.8129,0.53,21.67,2238.24,6.06,3.86,0.911,-1.33,2.68,26.72,43.81,1.01,30.58,2437.3,2313.7,2405.8,2437.3,2133.0,50.53,45.26,2.06,-1.7,0.2,13.55,7.89,2.07,-2.51,79.89,8,8,11,81.82,1.45,81.82,3.25,81.82,4.24,81.82,4.98,90.91,7.74,STRONG,92.27,STRONG,Trend + Structure + VWAP + Gap,None material,1.32,5.67,2405.19,2508.35,2238.24,HIGH,5627792104.0,NOT_AVAILABLE,NOT_AVAILABLE,
TMB,2026-08-28,886.05,Bullish,75.6,81.9,5,75,5/10,Medium,60.14,24.88,2.81,0.83,864.34,827.17,696.58,0.462,-0.2177,0.54,45.0,868.4,2.03,1.64,0.742,-0.87,0.85,4.31,4.03,-0.74,45.84,903.6,882.15,893.85,907.8,868.0,43.16,52.11,1.37,-0.99,0.29,13.03,4.61,1.59,-2.06,85.05,11,10,10,70.0,1.53,90.0,4.93,80.0,3.96,80.0,5.43,80.0,4.28,STRONG,91.0,STRONG,Trend + Momentum + VWAP + RSI,None material,0.98,4.21,894.76,923.37,868.4,MODERATE,130138665.0,NOT_AVAILABLE,NOT_AVAILABLE,
